name,domain,url,title,confidence
Stratton Mountain Resort,snow-online.com,https://www.snow-online.com/ski-resort/stratton-mountain-resort.html,Stratton Mountain Resort • Ski Holiday • Reviews,1.0
West Hill Shop,westhillshop.com,https://www.westhillshop.com/,"West Hill Shop | Bike & Nordic Ski | Putney, Vermont",1.0
Burrows Sports,localbikes.net,https://www.localbikes.net/Vermont/Burrows-Specialized-Sports-1829521,"Burrows Specialized Sports - Brattleboro, VT, (802) 254-9430 |",1.0
Bicycle World,bicycleworld.com,https://bicycleworld.com/,Bicycle World,1.0
Northampton Bicycle,nohobike.com,https://www.nohobike.com/,Northampton Bicycle – 413-586-3810 | 319 Pleasant St....,1.0
New Horizons Bikes,newhorizonsbikes.com.siteindices.com,https://newhorizonsbikes.com.siteindices.com/,Newhorizonsbikes / New Horizons Bikes serving Springfield and,1.0
Competitive Edge Ski & Bike,compedgeskibike.com,https://www.compedgeskibike.com/,Competitive Edge Ski & Bike,1.0
Storrs Center Cycle,groupon.com,https://www.groupon.com/biz/storrs-ct/jorgensen-center-for-the-performing-arts,"Jorgensen Center for the Performing Arts, 2132 Hillside Rd.,",0.33
Dash Bicycle Shop,dashbicycle.com,https://www.dashbicycle.com/,Providence Road Bike Shop - Dash Bicycle,1.0
Cleverhood,cleverhood.com,https://cleverhood.com/collections/bike-new-york,Bike New York – Cleverhood,1.0
Sea Sports Cyclery & Outdoor,capecodseasports.com,https://www.capecodseasports.com/,capecodseasports.com,0.5
Omer and Bob's,omerandbobs.com,https://www.omerandbobs.com/,"Omer & Bob's | Lebanon, NH",1.0
Littleton Bike & Fitness,littletonbike.com,https://www.littletonbike.com/,Littleton Bike & Fitness,1.0
White Mountain Ski Co,whitemountainski.co,https://whitemountainski.co/,"Alpine Touring Ski , Telemark, Nordic, and Splitboard Shop",1.0
Rhino Bike Works,lakesregionbicycling.com,https://lakesregionbicycling.com/rhino-bike-works-plymouth/,Rhino Bike Works – Plymouth | Lakes Region Bicycling,1.0
S&W Sports,swsports.net,https://www.swsports.net/?srsltid=AfmBOooOhVbAHFYLt_uuquzJM5jwI-uCmncHrp6eIucPOtodAoqi8nSn,"S&W Sports | Concord, NH",1.0
Western Cycle,western-cycle.com,https://www.western-cycle.com/,"Western Cycle | Danvers, MA & Seabrook, NH | Bike Shop",1.0
Western Cycle Seabrook,western-cycle.com,https://www.western-cycle.com/contact/email-us-pg120.htm?srsltid=AfmBOopd507TgLs7708JiprJH9Md6-jz9KkWmH1aPliIpYl7Z8P-Oui9,"Contact Us - Email Form - Western Cycle | Danvers, MA & Seabrook, NH",1.0
Gus' Bike Shop,community.terrybicycles.com,https://community.terrybicycles.com/sidesaddle-blog/shop-local-gus-bike-shop,SHOP LOCAL: GUS' BIKE SHOP. - Terry Peloton.,1.0
Treeline Outfitters,treelineoutfittersco.com,https://treelineoutfittersco.com/,Treeline Outfitters,1.0
Papa Wheelies Bicycle Shop,twitter.com,https://twitter.com/Papa_Wheelies,Papa Wheelie 's Bicycle Shop (@ Papa _ Wheelies ) / Twitter,1.0
"Philbrick's Ski, Board & Bike",philbricks.com,https://www.philbricks.com/service/privacy-policy/,"Privacy policy - Philbrick's Ski, Board, & Bike",1.0
Allspeed Cyclery & Snow,singletracks.com,https://www.singletracks.com/bike-shops/allspeed-cyclery-snow/,Allspeed Cyclery & Snow Bike Shop in Portland Maine,1.0
Sidecountry Sports,sidecountrysports.com,https://www.sidecountrysports.com/shop-now/bike/bikes/,Bikes - Sidecountry Sports,1.0
Blue Hill Cyclery,bluehillcyclery.com,https://www.bluehillcyclery.com/,"Blue Hill Cyclery | Tune-Ups, Repairs, Gear | 16 Parker Point ...",1.0
Landry's Bicycles,landrys.com,https://www.landrys.com/,landrys.com,0.67
"Apex Velo-An appointment-suggested bicycle sales, fit and service studio",directmap.us,https://directmap.us/newton/bicycle-store,"Bicycle Store — Newton, United States, address, reviews and opening...",0.27
Farina's,aalbersfarina.nl,https://aalbersfarina.nl/en/,Storage systems and sheet metal processing machines - aalbers| farina,1.0
Cambridge Bicycle,cambridgebicycle.com,https://cambridgebicycle.com/,Cambridge Bicycle | Boston Bike Shop,1.0
Ride Brooklyn,pixelunion.net,https://pixelunion.net/blogs/state-of-the-union/brooklyn-bicycle-co-winner-of-the-outstanding-shop-award-for-best-sports-and-recreation-online-store,Brooklyn Bicycle Co.: Winner of the Outstanding Shop Award for,0.5
Bicycle Habitat,bicyclehabitat.com,https://www.bicyclehabitat.com/,bicyclehabitat.com,1.0
Mello Velo Bicycle Shop,mellovelobicycles.com,https://www.mellovelobicycles.com/,"Mello Velo Bicycle Shop | Syracuse, NY",1.0
Evergreen Bicycle Works,evergreenbicycleworks.com,https://www.evergreenbicycleworks.com/blog/danlynchbikeatoga,A Visit from Dan Lynch (Bikeatoga) — Evergreen Bicycle,1.0
Rick's Bike Shop,deerdir.com,https://deerdir.com/profile/ricks-bike-shop/,"Rick's Bike Shop - Queensbury, NY, US",1.0
Placid Planet Bicycles,placidplanet.com,https://www.placidplanet.com/,"Placid Planet Bicycles | Bike Shop | Lake Placid, NY",1.0
Morning Cycles Brussels,en.morningcycles.com,https://en.morningcycles.com/magasins/bruxelles-madou,Morning Cycles Brussels Madou - Bike store and workshop,1.0
Morning Cycles Madou,en.morningcycles.com,https://en.morningcycles.com/services/securite/assurance,Bicycle insurance - ENRA at Morning Cyles,0.67
Golden Bike Shop,goldenbikeshop.com,https://www.goldenbikeshop.com/,goldenbikeshop.com,1.0
Mike's Bikes of Boulder (formerly Full Cycle),mikesbikes.com,https://mikesbikes.com/pages/boulder,"Mike’s Bikes | Bike Shop in Boulder | Bike Rentals, Bike Fit ...",0.5
Woodcock Cycle Works,woodcockcycle.com,https://www.woodcockcycle.com/,woodcockcycle.com,0.67
Cranky's Bike Shop St. Albert,crankys.ca,https://www.crankys.ca/?srsltid=AfmBOoq8fLeQjFDyqa9TAo_iMdXqFOgJMy9UrimaGCkR9Aq6x06upRnN,"Cranky's Bike Shop | Edmonton, AB | St Albert, AB",1.0
Rebound Cycle,reboundcycle.com,https://reboundcycle.com/bike-repair-services/,Bike Repair Services | Bike Rental Canmore | Rebound Cycle,1.0
Calgary Cycle - Southwood,calgarycycle.com,https://www.calgarycycle.com/locations/southwood,Calgary Cycle | Canada's Premier Bike Shop,0.67
Ridley's Cycle - Okotoks,ridleys.com,https://www.ridleys.com/about/terms-of-use-privacy-policy-pg102.htm,Privacy Policy - Ridley's Cycle | Calgary & Okotoks Bike Shops,1.0
Alpenglow Sports,alpenglowsports.com,https://alpenglowsports.com/?srsltid=AfmBOopTgO9S1rnQyr7blQHM_aPAw-Uppsw9uEl_TSEKIryqiyioSLWn,Alpenglow Sports - Outdoor gear and expert advice,1.0
Pacos Truckee,pacoscalifornia.com,https://www.pacoscalifornia.com/,pacos,0.5
You Bet! Bicycle Sales & Service,youbetbike.com,https://www.youbetbike.com/,"YouBet! Bicycle Sales & Service | Explore More, Ride Now",1.0
Piccadilly Cycles,instagram.com,https://www.instagram.com/piccadillycycles/,Piccadilly Cycles (@piccadillycycles) • Instagram photos and ...,1.0
Flywheel Bicycles LLC,flywheelbicycles.com,https://www.flywheelbicycles.com/,"Flywheel Bicycle Solutions, LLC",1.0
Bicycle Way of Life,adn.com,https://www.adn.com/alaska-life/travel/2019/06/15/in-eugene-oregon-a-good-mood-is-just-a-bike-ride-away/,"In Eugene, Oregon, a good mood is ‘just a bike ride away’ - Anchorage...",0.25
Klink Cycles,klinkcycles.com,https://www.klinkcycles.com/,Klink Cycles,1.0
Blazin Saddles,blazingsaddles.co.uk,https://blazingsaddles.co.uk/,Blazing Saddles,1.0
Joe Bike,findbicycleshops.net,http://www.findbicycleshops.net/shops/colorado/joes_bike_shop_co.html,"Joe's Bike Shop :: Bicycle Shop :: Lafayette, CO",1.0
Velotech,velotechcycles.com,http://www.velotechcycles.com/,Velotech Cycles – Passion for Performance,1.0
Golden Pliers Bicycle Repair & Supply,goldenpliers.com,https://www.goldenpliers.com/,Golden Pliers,0.4
Cyclepath PDX,cyclepathpdx.com,https://www.cyclepathpdx.com/,Cyclepath PDX - Portland's Premier Bike Shop,1.0
Metropolis Cycle Repair,metropoliscycles.com,https://metropoliscycles.com/,Homepage – Metropolis Cycles,0.67
evo Portland,evo.com,https://www.evo.com/locations/portland,"Portland Ski, Snowboard, Mountain Bike, Skate & Surf Shop |",1.0
Clever Cycles Bicycle & Ebike Store,clevercycles.com,https://www.clevercycles.com/bikes/,"Brompton, Cargo Bikes , Electric Bikes & More - Clever Cycles Ebike ...",0.6
Sunnyside Sports,localbikes.net,https://www.localbikes.net/Oregon/Sunnyside-Sports-1834311,"Sunnyside Sports - Bend, OR, (541) 382-8018 | Local Bikes.net",1.0
Acme Bicycles,acmebicycles.com,https://www.acmebicycles.com/,"Acme Bicycles | Rapid City, SD Bike Shop",1.0
Phat Tire Bike Shop,trekbikes.com,https://www.trekbikes.com/us/en_US/store/3234801/,Phat Tire Bike Shop | Phat Tire Bike Shop,1.0
Phat Tire Bike Shop,phattirebikeshop.com,https://www.phattirebikeshop.com/,Phat Tire Bike Shop & Bike Rental | Arkansas & Oklahoma,1.0
Bath Cycle & Ski / Bikeman,findbicycleshops.net,http://www.findbicycleshops.net/shops/maine/bath_cycle_ski.html,"Bath Cycle & Ski :: Bicycle Shop :: Woolwich, ME",0.75
"Johnson Farm & Garden, Hardware & Rental",doitbest.com,https://www.doitbest.com/johnsons-home-and-garden/?srsltid=AfmBOop7w7s-xBKtx79G0HhqPwqGPdC-mkK5N-O81ZHG7IqGhxj7oTm_,Johnsons Home & Garden | Shop Hardware & Home Improvement - Do it Best,0.6
Methow Cycle & Sport,methowcyclesport.com,https://www.methowcyclesport.com/,Methow Cycle & Sport,1.0
Mike's Bike Shop,mikesbikeshop.ie,https://mikesbikeshop.ie/product/raleigh-motus-tour-low-step-unisex-electric-city-bike/,Raleigh Motus Tour Low Step Unisex Electric... | Mike ' s Bike Shop Cork,1.0
Denver Bicycle,denverbicycleonline.com,https://www.denverbicycleonline.com/?srsltid=AfmBOorK5Tb_GOf5Paj9ngH5mowYOMpvQuDNZmjkMuSuWTVE7Nk6Pqti,"Denver Bicycle Company | Denver, CO",1.0
Hub Cycle,cycle.io,https://cycle.io/docs/getting-started/configuring-a-hub-overview,Configuring your Hub on Cycle | Cycle.io,1.0
BFF Bikes,bffbikes.com,https://www.bffbikes.com/brands,BFF Bikes— We are a small independent women-owned bike store ...,1.0
Cycle Culture,cyclegreece.com,https://cyclegreece.com/links/,Links - CycleGreece,0.5
Granada Cyclery,granada-cyclery.wheree.com,https://granada-cyclery.wheree.com/,"Granada Cyclery - Reviews, Photos & Phone Number - Updated ...",1.0
Flow State Bike Co.,flowstatebikeco.com,https://www.flowstatebikeco.com/?srsltid=AfmBOorZcljhYqX362PlTBbzuY4vUFEcwoVifarF9xwKWHRbcppmKpb8,Flow State Bike Co.: Guelph Boutique Bike Shop,1.0
Reed Cycle Inc.,choycepeterson.com,https://www.choycepeterson.com/press-release/choyce-peterson-negotiates-5-154-square-foot-hq-lease,Reed’s Inc. to Relocate Headquarters to 501 Merritt 7 in,0.67
Sharp Bicycle,sharpbicycle.com,https://www.sharpbicycle.com/,sharpbicycle.com,1.0
To Wheels,elite-wheels.com,https://www.elite-wheels.com/,Carbon Fiber Bike Wheelset - Elitewheels Official Site,0.5
NwProGear Bicycle Shop & Repair,nwprogear.com,https://www.nwprogear.com/,"Best New & Used Bike Shop | Family Owned | NW Pro Gear | Portland, OR 97266",0.5
Sturtevants- Ketchum,sturtevants-sv.com,https://sturtevants-sv.com/bike-shop/,Bike Shop - Sturtevants,0.5
Jessome's La Source du Sport,envodrive.com,https://envodrive.com/en-us/a/store-locator/jessomes-la-source-du-sport.html?srsltid=AfmBOopqrVZRXzcnjGX7H1EICKLGsisBhTWqFElmzRE88sW6MoORL5et,Jessome's La Source du Sport - Envodrive,1.0
Arlberg Sports,pybuspublicmarket.org,https://pybuspublicmarket.org/essential_grid/arlberg-sports-riverfront/,Arlberg Sports – Riverfront - Pybus Public Market,1.0
Fitness Central,fcbikeshop.com,https://www.fcbikeshop.com/,"Fitness Central Inc | bike | 4337 Rte 309, Schnecksville, PA, USA",1.0
Nick's Cycling & Fitness,singletracks.com,https://www.singletracks.com/bike-shops/nicks-cycling-and-fitness/,Nick ' s Cycling and Fitness Bike Shop in West Burlington Iowa,1.0
Downtown Bicycles - Northfield,et.cybo.com,https://et.cybo.com/US-biz/downtown-bicycles_7X,"Downtown Bicycles - 321 Division St S, Northfield , MN 55057 - Cybo",1.0
Downtown Bicycles - Lakeville,havefunbiking.com,https://havefunbiking.com/destinations/next-adventure-lakeville-outdoor-guide-bike-hike-paddle/,Next Adventure - Lakeville Outdoor Guide,0.33
Arcadian Shop,arcadiangrooming.com,https://www.arcadiangrooming.com/,ARCADIAN | Small Batch Grooming Supply Co. - Handmade in the USA.,0.5
Tri-State Distributors,tristatedistributors.com,https://tristatedistributors.com/page/customer-services/contact-us,Tri State Distributors - Contact Us,1.0
Sportsman & Ski Haus Rentals,parkbench.com,https://parkbench.com/directory/sportsman-ski-haus-rentals-1,"Sportsman & Ski Haus Rentals , Car Rentals in Whitefish - Parkbench",1.0
The Bear Mountain,thebearmountain.com,https://thebearmountain.com/pages/bike-shop,Bike Shop — The Bear Mountain,1.0
Cycle N├⌐ron,cycleneron.com,https://www.cycleneron.com/us/,Home | Cycle Néron,1.0
Muletown Bikes,carsforsale.com,https://www.carsforsale.com/used-car-dealer/muletown-motors-columbia-tn-d734090,Muletown Motors - Carsforsale.com®,0.5
Wheeler Dealer Bicycles,linkedin.com,https://www.linkedin.com/company/wheeler-dealer-bicycle-shop,Wheeler Dealer Bicycles | LinkedIn,1.0
Brave New Wheel,digbmx.com,https://digbmx.com/features/a-brave-new-world-the-history-of-khe-bikes-part-2,"A Brave New World - The history of KHE Bikes, Part 2 - DigBMX",0.67
Lake Placid Running & Triathlon Company,ironman.com,https://www.ironman.com/races/im-lake-placid,IRONMAN Lake Placid,0.4
The Mountaineer,en.wikipedia.org,https://en.wikipedia.org/wiki/Mountaineering,Mountaineering - Wikipedia,0.5
Freewheel Cycle,shopinottawa.com,https://www.shopinottawa.com/Freewheel-Cycle-And-Sports-Ltd/11503712.htm,"Freewheel Cycle And Sports Ltd in Ottawa, ON K2A1C1 -",1.0
High Peaks Cyclery Mountain Adventures,highpeakscyclery.com,https://www.highpeakscyclery.com/,highpeakscyclery.com,0.6
Cyclesmith Halifax,halifax-new-scotland.canada-search.ca,https://halifax-new-scotland.canada-search.ca/bicycle-store/cyclesmith-halifax/,"Cyclesmith — Bicycle Store in Halifax , 2553 Agricola St, Halifax , NS...",1.0
Cyclesmith Dartmouth,cyclesmith-dartmouth.wheree.com,https://cyclesmith-dartmouth.wheree.com/,"Cyclesmith Dartmouth - Reviews, Photos & Phone Number... - Wheree",1.0
The Wheel House,thewheelhousebikes.com,https://thewheelhousebikes.com/,"The Wheel House | Trek & Transition Bikes Sales in Claremont, NH",1.0
North Star Sports,northstarsports.com,https://northstarsports.com/contact-us/,Contact us - North Star Sports,1.0
De Novo Velo,recapusa.org,http://recapusa.org/ameno-casino-online-top-novos-casinos-acimade-portugal-2025/,Ameno Casino Online Top Novos Casinos acimade Portugal 2025,0.67
Run & Ride | Stafford,runandride.blog,https://www.runandride.blog/booking-engine,"Bike Box Hire at Run & Ride , Stafford",1.0
Newdales,newdales.wheree.com,https://newdales.wheree.com/,"Newdales - Reviews, Photos & Phone Number - Updated December ...",1.0
Giant Store Camden,giant-camden.co.uk,https://www.giant-camden.co.uk/gb,Giant Store Camden - Giant Bicycles,1.0
Bikestyle,bikestyle.im,https://www.bikestyle.im/tempt-3?colour=tyrian-purple,Tempt 3 (2025) | Women XC bike,1.0
LaCabra.cc,lacabra.cc,https://lacabra.cc/,LaCabra . cc,1.0
Echelon Cycle Sport,zecycles.com,https://www.zecycles.com/used-motorcycles/sport-bike-shops-near-me,Sport Bike Shops Near ME For Sale - ZeCycles,0.67
Amici di Bici,amicibici.it,https://amicibici.it/,"Amici Bici | Cycling Boutique, Bike hire and tours in Lucca",0.67
B├⌐kane - Magasin de v├⌐lo ├á Mons,m.flylinks.pro,https://m.flylinks.pro/stbemu-free-codes-for-iptv-access-2025/,stbemu free codes for IPTV Access 31.12.2025,0.43
zuydfiets.nl fiets / bike verkoop&reparatie,zuydfiets.nl,https://www.zuydfiets.nl/,@zuydfiets.nl zuydfiets.nl de fietsspecialist voor het hele ...,0.5
Cycles et Sacoches Namur,cyclesetsacoches.be,https://www.cyclesetsacoches.be/,"Cycles et sacoches – Magasin de vélos, accessoires, et atelier de...",0.75
Cycles et Sacoches Louvain-la-Neuve,cyclesetsacoches.be,https://www.cyclesetsacoches.be/,"Cycles et sacoches – Magasin de vélos, accessoires, et ...",0.5
Steer Shop Bruges,landoftravels.com,https://landoftravels.com/two-perfect-days-in-bruges-belgium-a-comprehensive-guide/,Two Days In Bruges - The Must-Visit Belgian City | Land Of,0.33
Cords Cycles,cordscycles.com,https://cordscycles.com/,Home - Cords Cycles,1.0
Spaak Koffie en Koers | Fietsreparatie en Fiets Onderhoud,ru.restaurantguru.com,https://ru.restaurantguru.com/Spaak-Groningen-Groningen,Spaak Koffie en Koers Fietsreparatie en Fiets Onderhoud ...,1.0
Fietsservice Bevel,becycled.be,https://www.becycled.be/en/bike-shop/4300-waremme/,All bike shops in Waremme,0.0
Lola Bikes & Coffee,lolabikesandcoffee.nl,https://www.lolabikesandcoffee.nl/,Lola Bikes & Coffee,1.0
Kamu koffiebar en fietsenwinkel,restaurantguru.com,https://restaurantguru.com/Kamu-Breda,"Kamu koffiebar en fietsenwinkel , Breda - Restaurant menu and...",1.0
Venom Cycleworks,venomcycleworks.com,https://venomcycleworks.com/,Venom • Cycle Works,1.0
Salomo Bikes,salomobikes.nl,https://salomobikes.nl/,Salomo Bikes is dé racefiets en MTB specialist uit Medemblik.,1.0
VeloRunner,datanyze.com,https://www.datanyze.com/companies/velorunner/450760869,VeloRunner Company Profile | Management and Employees List,1.0
East St Cycles - Relocated and Rebranded - See Hoops Velo,velomesto.com,https://velomesto.com/en/uk-basingstoke-england/place_18135_hoops-velo8832957743127/,"Hoops Velo Bike Shop Seven Stars House, 88 East Street , Farnham...",0.44
Mailis bike+coffee,bikesandbrains.com,https://bikesandbrains.com/,Bikes and Brains – sharing experiences about cycling and,0.33
"ALPENHELD Fahrradgesch├ñft, Gravelbike Vermietung",bikeregionschwaebischealb.de,https://www.bikeregionschwaebischealb.de/gravelbike-mieten/,GRAVELBIKE MIETEN - Alpenheld E-Bike Gruppentouren und E-Bike ...,0.4
Limit Bikes GmbH,dnb.com,https://www.dnb.com/business-directory/company-profiles.limit_bikes_gmbh.f3e9deec5eef82c281d8e7de0fdb1cfe.html,Limit Bikes GmbH Company Profile - Dun & Bradstreet,1.0
furcletta bike,mythos-ebike.de,https://www.mythos-ebike.de/bikekingdom-lenzerheide-arosa-graubuenden-schweiz/,"Bikekingdom Lenzerheide, Arosa / Graubünden, Schweiz - Mythos",0.5
Rochat Cycles S├árl,rochat-cycles.ch,https://www.rochat-cycles.ch/,Rochat Cycles – Votre magasin de vélo à Aubonne & Genève,0.75
Intersport Akilia,bikezona.com,https://www.bikezona.com/tiendas-bicicletas/intersport-akilia/4459,INTERSPORT AKILIA tienda de bicicletas situada en GIRONA ...,1.0
Santafixie,santafixie.com,https://www.santafixie.com/en/bikes/santafixie.html,Santafixie Bikes at the best price | Online Bike Shop,1.0
Xycletracx,xycletracx.nl,https://www.xycletracx.nl/,"Xycletracx Zwolle | Mountainbike, Racefiets, Gravelbike ...",1.0
Perima Cycling,perima.nl,https://www.perima.nl/,Perima Cycling Ermelo,1.0
Bikeplanet,bikeplanet.nl,https://www.bikeplanet.nl/nieuwsbrief-september/,Nieuwsbrief september | Bikeplanet,1.0
Kaptein Tweewielers,kapteintweewielers.nl,https://kapteintweewielers.nl/,"Kaptein tweewielers - racefietsen, gravel bikes ...",1.0
Just Pedal Bike Shop,justpedal.nl,https://www.justpedal.nl/en/,Just Pedal Bikeshop,1.0
Futurumshop,futurumshop.nl,https://www.futurumshop.nl/,FuturumShop.nl – dé shop voor wielrenners en mountainbikers,1.0
CycleWorks,cycleworksnc.com,https://cycleworksnc.com/,Cycle Works Performance Bike Shop - Cycleworks Performance Bike,1.0
Fietsspeciaalzaak Roelofs,es.4iiii.com,https://es.4iiii.com/dealers/,4iiii Innovations — Dealer Locator,0.0
Bike Emotions,cyclinglocations.com,https://www.cyclinglocations.com/emotion-fat-bikes-lanzarote/,Emotion Fat Bikes - Bike Rental Lanzarote,0.5
Cyclingstuff,cyclingstuff.net,https://www.cyclingstuff.net/,CyclingStuff.net,1.0
V├⌐losport Middelburg,middelburgonderneemt.nl,https://www.middelburgonderneemt.nl/bedrijf/v-losport-middelburg-187873,Vélosport Middelburg in Middelburg,1.0
"Leapfrog Biker - Road bikes, mountain bikes and bike accessories",nashbar.com,https://www.nashbar.com/,"Nashbar - Shop the Best Sales on Bikes, Parts & Accessories",0.44
BikeAholic,bikeaholic.be,https://www.bikeaholic.be/fiets-verhuur,FIETS VERHUUR — BikeAholic .,1.0
De Fietsbroers,mapy.com,https://mapy.com/en/?source=osm&id=1047268760,De Fietsbroers (Bike shop) • Mapy.com,1.0
BIKEPACKING BELGIUM op afspraak,bikepacking.com,https://bikepacking.com/locations/belgium/,Belgium Archives - BIKEPACKING .com,0.5
Cameleon Bike,theproscloset.com,https://www.theproscloset.com/collections/santa-cruz-chameleon,Santa Cruz Chameleon For Sale - New & Used | Bikes & Frames,0.5
V├⌐lo Ciraptor,velociraptorgent.be,https://velociraptorgent.be/,Vélo Ciraptor,1.0
Specialized Kerkrade,orangesmile.com,https://www.orangesmile.com/travelguide/kerkrade/advices--2147365.htm,Tips on Travelling to Kerkrade | Trip Preparation - What to Do,0.5
Manneken Fiets,mannekenfiets.be,https://www.mannekenfiets.be/,Je fietsenwinkel in Wemmel - Manneken Fiets,1.0
BE-HERE,trekbikes.com,https://www.trekbikes.com/us/en_US/store-finder/,Find a bike shop near you | Trek Retailers,0.0
